['PROGRAM', 'PROGRAM', '-1']
['IDENTIFIER', 'id', 'add']
['VAR', 'VAR', '-1']
['IDENTIFIER', 'id', 'x']
['COMMA', ',', '-1']
['IDENTIFIER', 'id', 'y']
['SEMICOLON', ';', '-1']
['BEGIN', 'BEGIN', '-1']
['IDENTIFIER', 'id', 'x']
['ASSIGN', ':=', '-1']
['NUMBER', 'num', '1']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'y']
['ASSIGN', ':=', '-1']
['NUMBER', 'num', '2']
['SEMICOLON', ';', '-1']
['WHILE', 'WHILE', '-1']
['IDENTIFIER', 'id', 'x']
['LESS', '<', '-1']
['NUMBER', 'num', '5']
['DO', 'DO', '-1']
['IDENTIFIER', 'id', 'x']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'x']
['PLUS', '+', '-1']
['NUMBER', 'num', '1']
['SEMICOLON', ';', '-1']
['IF', 'IF', '-1']
['IDENTIFIER', 'id', 'y']
['GREATER', '>', '-1']
['NUMBER', 'num', '0']
['THEN', 'THEN', '-1']
['IDENTIFIER', 'id', 'y']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'y']
['MINUS', '-', '-1']
['NUMBER', 'num', '1']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'y']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'y']
['PLUS', '+', '-1']
['IDENTIFIER', 'id', 'x']
['SEMICOLON', ';', '-1']
['END', 'END', '-1']
