['VAR', 'VAR', '-1']
['IDENTIFIER', 'id', 'x']
['COMMA', ',', '-1']
['IDENTIFIER', 'id', 'squ']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'procedure']
['IDENTIFIER', 'id', 'minus']
['SEMICOLON', ';', '-1']
['BEGIN', 'BEGIN', '-1']
['IDENTIFIER', 'id', 'x']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'x']
['PLUS', '+', '-1']
['NUMBER', 'num', '1']
['SEMICOLON', ';', '-1']
['END', 'END', '-1']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'procedure']
['IDENTIFIER', 'id', 'square']
['SEMICOLON', ';', '-1']
['BEGIN', 'BEGIN', '-1']
['IDENTIFIER', 'id', 'call']
['IDENTIFIER', 'id', 'minus']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'squ']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'x']
['TIMES', '*', '-1']
['IDENTIFIER', 'id', 'x']
['END', 'END', '-1']
['SEMICOLON', ';', '-1']
['BEGIN', 'BEGIN', '-1']
['IDENTIFIER', 'id', 'x']
['ASSIGN', ':=', '-1']
['NUMBER', 'num', '1']
['SEMICOLON', ';', '-1']
['WHILE', 'WHILE', '-1']
['IDENTIFIER', 'id', 'x']
['LESS_OR_EQUAL', '<=', '-1']
['NUMBER', 'num', '100']
['DO', 'DO', '-1']
['BEGIN', 'BEGIN', '-1']
['IDENTIFIER', 'id', 'call']
['IDENTIFIER', 'id', 'square']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'write']
['LEFT_PARENTHESES', '(', '-1']
['IDENTIFIER', 'id', 'squ']
['RIGHT_PARENTHESES', ')', '-1']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'x']
['ASSIGN', ':=', '-1']
['NUMBER', 'num', '2']
['TIMES', '*', '-1']
['IDENTIFIER', 'id', 'x']
['PLUS', '+', '-1']
['NUMBER', 'num', '1']
['END', 'END', '-1']
['END', 'END', '-1']
['DOT', '.', '-1']
