['CONST', 'CONST', '-1']
['IDENTIFIER', 'id', 'max']
['EQUAL', '=', '-1']
['NUMBER', 'num', '100']
['SEMICOLON', ';', '-1']
['VAR', 'VAR', '-1']
['IDENTIFIER', 'id', 'arg']
['COMMA', ',', '-1']
['IDENTIFIER', 'id', 'ret']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'procedure']
['IDENTIFIER', 'id', 'isprime']
['SEMICOLON', ';', '-1']
['VAR', 'VAR', '-1']
['IDENTIFIER', 'id', 'i']
['COMMA', ',', '-1']
['IDENTIFIER', 'id', 'j']
['SEMICOLON', ';', '-1']
['BEGIN', 'BEGIN', '-1']
['IDENTIFIER', 'id', 'ret']
['ASSIGN', ':=', '-1']
['NUMBER', 'num', '1']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'i']
['ASSIGN', ':=', '-1']
['NUMBER', 'num', '2']
['SEMICOLON', ';', '-1']
['WHILE', 'WHILE', '-1']
['IDENTIFIER', 'id', 'i']
['LESS', '<', '-1']
['IDENTIFIER', 'id', 'arg']
['DO', 'DO', '-1']
['BEGIN', 'BEGIN', '-1']
['IF', 'IF', '-1']
['IDENTIFIER', 'id', 'arg']
['DIVIDE', '/', '-1']
['IDENTIFIER', 'id', 'i']
['TIMES', '*', '-1']
['IDENTIFIER', 'id', 'i']
['EQUAL', '=', '-1']
['IDENTIFIER', 'id', 'arg']
['THEN', 'THEN', '-1']
['BEGIN', 'BEGIN', '-1']
['IDENTIFIER', 'id', 'ret']
['ASSIGN', ':=', '-1']
['NUMBER', 'num', '0']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'i']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'arg']
['END', 'END', '-1']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'i']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'i']
['PLUS', '+', '-1']
['NUMBER', 'num', '1']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'j']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'i']
['PLUS', '+', '-1']
['IDENTIFIER', 'id', 'j']
['PLUS', '+', '-1']
['NUMBER', 'num', '2']
['END', 'END', '-1']
['END', 'END', '-1']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'procedure']
['IDENTIFIER', 'id', 'primes']
['SEMICOLON', ';', '-1']
['BEGIN', 'BEGIN', '-1']
['IDENTIFIER', 'id', 'arg']
['ASSIGN', ':=', '-1']
['NUMBER', 'num', '2']
['SEMICOLON', ';', '-1']
['WHILE', 'WHILE', '-1']
['IDENTIFIER', 'id', 'arg']
['LESS_OR_EQUAL', '<=', '-1']
['IDENTIFIER', 'id', 'max']
['DO', 'DO', '-1']
['BEGIN', 'BEGIN', '-1']
['IDENTIFIER', 'id', 'call']
['IDENTIFIER', 'id', 'isprime']
['SEMICOLON', ';', '-1']
['IF', 'IF', '-1']
['IDENTIFIER', 'id', 'ret']
['EQUAL', '=', '-1']
['NUMBER', 'num', '1']
['THEN', 'THEN', '-1']
['IDENTIFIER', 'id', 'write']
['LEFT_PARENTHESES', '(', '-1']
['IDENTIFIER', 'id', 'arg']
['RIGHT_PARENTHESES', ')', '-1']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'arg']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'arg']
['PLUS', '+', '-1']
['NUMBER', 'num', '1']
['END', 'END', '-1']
['END', 'END', '-1']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'call']
['IDENTIFIER', 'id', 'primes']
['DOT', '.', '-1']
